country,code,indicator
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
Comoros,COM,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Dem. Rep.",COD,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
"Congo, Rep.",COG,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Costa Rica,CRI,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Cote d'Ivoire,CIV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Croatia,HRV,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cuba,CUB,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Cyprus,CYP,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Czechia,CZE,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Denmark,DNK,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Djibouti,DJI,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominica,DMA,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Dominican Republic,DOM,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
Ecuador,ECU,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
"Egypt, Arab Rep.",EGY,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
El Salvador,SLV,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Equatorial Guinea,GNQ,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Eritrea,ERI,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Estonia,EST,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Eswatini,SWZ,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Ethiopia,ETH,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Fiji,FJI,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
Finland,FIN,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
France,FRA,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
French Polynesia,PYF,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
Gabon,GAB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
"Gambia, The",GMB,Obesity
Georgia,GEO,Obesity
